年度,カテゴリ,薬効分類,薬効分類名,グループ,個数（薬剤種類数）,数量合計
FY2020,内服_外来院内,421,アルキル化剤,2019年存在,9,631464.84
FY2020,内服_外来院内,421,アルキル化剤,2019年非存在（新規）,0,0
FY2020,内服_外来院内,422,代謝拮抗剤,2019年存在,40,18347092.62
FY2020,内服_外来院内,422,代謝拮抗剤,2019年非存在（新規）,0,0
FY2020,内服_外来院内,423,抗腫瘍性抗生物質製剤,2019年存在,0,0
FY2020,内服_外来院内,423,抗腫瘍性抗生物質製剤,2019年非存在（新規）,0,0
FY2020,内服_外来院内,424,抗腫瘍性植物成分製剤,2019年存在,4,33321
FY2020,内服_外来院内,424,抗腫瘍性植物成分製剤,2019年非存在（新規）,0,0
FY2020,内服_外来院内,429,その他の腫瘍用薬,2019年存在,94,52252838.1
FY2020,内服_外来院内,429,その他の腫瘍用薬,2019年非存在（新規）,6,885914
FY2020,内服_外来院外,421,アルキル化剤,2019年存在,9,2696748.81
FY2020,内服_外来院外,421,アルキル化剤,2019年非存在（新規）,0,0
FY2020,内服_外来院外,422,代謝拮抗剤,2019年存在,48,86962606.18
FY2020,内服_外来院外,422,代謝拮抗剤,2019年非存在（新規）,0,0
FY2020,内服_外来院外,423,抗腫瘍性抗生物質製剤,2019年存在,0,0
FY2020,内服_外来院外,423,抗腫瘍性抗生物質製剤,2019年非存在（新規）,0,0
FY2020,内服_外来院外,424,抗腫瘍性植物成分製剤,2019年存在,4,176388
FY2020,内服_外来院外,424,抗腫瘍性植物成分製剤,2019年非存在（新規）,0,0
FY2020,内服_外来院外,429,その他の腫瘍用薬,2019年存在,98,250492152.8
FY2020,内服_外来院外,429,その他の腫瘍用薬,2019年非存在（新規）,2,1289993.5
FY2020,注射_外来院内,421,アルキル化剤,2019年存在,12,467330.862
FY2020,注射_外来院内,421,アルキル化剤,2019年非存在（新規）,2,988.18
FY2020,注射_外来院内,422,代謝拮抗剤,2019年存在,46,3738228.867
FY2020,注射_外来院内,422,代謝拮抗剤,2019年非存在（新規）,0,0
FY2020,注射_外来院内,423,抗腫瘍性抗生物質製剤,2019年存在,38,679372.344
FY2020,注射_外来院内,423,抗腫瘍性抗生物質製剤,2019年非存在（新規）,3,0
FY2020,注射_外来院内,424,抗腫瘍性植物成分製剤,2019年存在,77,2951178.433
FY2020,注射_外来院内,424,抗腫瘍性植物成分製剤,2019年非存在（新規）,7,66950.2173
FY2020,注射_外来院内,429,その他の腫瘍用薬,2019年存在,91,6436251.907
FY2020,注射_外来院内,429,その他の腫瘍用薬,2019年非存在（新規）,9,108562.2
FY2020,注射_外来院外,421,アルキル化剤,2019年存在,0,0
FY2020,注射_外来院外,421,アルキル化剤,2019年非存在（新規）,0,0
FY2020,注射_外来院外,422,代謝拮抗剤,2019年存在,0,0
FY2020,注射_外来院外,422,代謝拮抗剤,2019年非存在（新規）,0,0
FY2020,注射_外来院外,423,抗腫瘍性抗生物質製剤,2019年存在,1,0
FY2020,注射_外来院外,423,抗腫瘍性抗生物質製剤,2019年非存在（新規）,0,0
FY2020,注射_外来院外,424,抗腫瘍性植物成分製剤,2019年存在,0,0
FY2020,注射_外来院外,424,抗腫瘍性植物成分製剤,2019年非存在（新規）,1,0
FY2020,注射_外来院外,429,その他の腫瘍用薬,2019年存在,3,0
FY2020,注射_外来院外,429,その他の腫瘍用薬,2019年非存在（新規）,2,0
FY2021,内服_外来院内,421,アルキル化剤,2019年存在,9,585777.53
FY2021,内服_外来院内,421,アルキル化剤,2019年非存在（新規）,0,0
FY2021,内服_外来院内,422,代謝拮抗剤,2019年存在,37,17927796.6
FY2021,内服_外来院内,422,代謝拮抗剤,2019年非存在（新規）,0,0
FY2021,内服_外来院内,423,抗腫瘍性抗生物質製剤,2019年存在,0,0
FY2021,内服_外来院内,423,抗腫瘍性抗生物質製剤,2019年非存在（新規）,0,0
FY2021,内服_外来院内,424,抗腫瘍性植物成分製剤,2019年存在,4,30282
FY2021,内服_外来院内,424,抗腫瘍性植物成分製剤,2019年非存在（新規）,0,0
FY2021,内服_外来院内,429,その他の腫瘍用薬,2019年存在,87,51790317.32
FY2021,内服_外来院内,429,その他の腫瘍用薬,2019年非存在（新規）,13,2716427.602
FY2021,内服_外来院外,421,アルキル化剤,2019年存在,9,2441529.635
FY2021,内服_外来院外,421,アルキル化剤,2019年非存在（新規）,0,0
FY2021,内服_外来院外,422,代謝拮抗剤,2019年存在,43,88852363.66
FY2021,内服_外来院外,422,代謝拮抗剤,2019年非存在（新規）,0,0
FY2021,内服_外来院外,423,抗腫瘍性抗生物質製剤,2019年存在,0,0
FY2021,内服_外来院外,423,抗腫瘍性抗生物質製剤,2019年非存在（新規）,0,0
FY2021,内服_外来院外,424,抗腫瘍性植物成分製剤,2019年存在,4,160732
FY2021,内服_外来院外,424,抗腫瘍性植物成分製剤,2019年非存在（新規）,0,0
FY2021,内服_外来院外,429,その他の腫瘍用薬,2019年存在,90,260261501.2
FY2021,内服_外来院外,429,その他の腫瘍用薬,2019年非存在（新規）,10,8362640.5
FY2021,注射_外来院内,421,アルキル化剤,2019年存在,12,454438.9386
FY2021,注射_外来院内,421,アルキル化剤,2019年非存在（新規）,4,36328.917
FY2021,注射_外来院内,422,代謝拮抗剤,2019年存在,47,3741252.945
FY2021,注射_外来院内,422,代謝拮抗剤,2019年非存在（新規）,24,53224.315
FY2021,注射_外来院内,423,抗腫瘍性抗生物質製剤,2019年存在,38,697212.892
FY2021,注射_外来院内,423,抗腫瘍性抗生物質製剤,2019年非存在（新規）,3,0
FY2021,注射_外来院内,424,抗腫瘍性植物成分製剤,2019年存在,75,2680136.738
FY2021,注射_外来院内,424,抗腫瘍性植物成分製剤,2019年非存在（新規）,6,329277.1082
FY2021,注射_外来院内,429,その他の腫瘍用薬,2019年存在,83,6734399.226
FY2021,注射_外来院内,429,その他の腫瘍用薬,2019年非存在（新規）,17,417152.3138
FY2021,注射_外来院外,421,アルキル化剤,2019年存在,0,0
FY2021,注射_外来院外,421,アルキル化剤,2019年非存在（新規）,1,0
FY2021,注射_外来院外,422,代謝拮抗剤,2019年存在,0,0
FY2021,注射_外来院外,422,代謝拮抗剤,2019年非存在（新規）,0,0
FY2021,注射_外来院外,423,抗腫瘍性抗生物質製剤,2019年存在,1,0
